year,total_btu,full_source
1960,33,"Geothermal, Electric Utility"
1961,94,"Geothermal, Electric Utility"
1962,100,"Geothermal, Electric Utility"
1963,168,"Geothermal, Electric Utility"
1964,204,"Geothermal, Electric Utility"
1965,189,"Geothermal, Electric Utility"
1966,188,"Geothermal, Electric Utility"
1967,316,"Geothermal, Electric Utility"
1968,436,"Geothermal, Electric Utility"
1969,615,"Geothermal, Electric Utility"
1970,525,"Geothermal, Electric Utility"
1971,548,"Geothermal, Electric Utility"
1972,1453,"Geothermal, Electric Utility"
1973,1966,"Geothermal, Electric Utility"
1974,2453,"Geothermal, Electric Utility"
1975,3246,"Geothermal, Electric Utility"
1976,3616,"Geothermal, Electric Utility"
1977,3582,"Geothermal, Electric Utility"
1978,2978,"Geothermal, Electric Utility"
1979,3889,"Geothermal, Electric Utility"
1980,5073,"Geothermal, Electric Utility"
1981,5686,"Geothermal, Electric Utility"
1982,4843,"Geothermal, Electric Utility"
1983,6075,"Geothermal, Electric Utility"
1984,7741,"Geothermal, Electric Utility"
1985,9326,"Geothermal, Electric Utility"
1986,10309,"Geothermal, Electric Utility"
1987,10776,"Geothermal, Electric Utility"
1988,10300,"Geothermal, Electric Utility"
1989,14593,"Geothermal, Electric Utility"
1990,15434,"Geothermal, Electric Utility"
1991,15966,"Geothermal, Electric Utility"
1992,16137,"Geothermal, Electric Utility"
1993,16788,"Geothermal, Electric Utility"
1994,15535,"Geothermal, Electric Utility"
1995,13379,"Geothermal, Electric Utility"
1996,14329,"Geothermal, Electric Utility"
1997,14726,"Geothermal, Electric Utility"
1998,14774,"Geothermal, Electric Utility"
1999,14828,"Geothermal, Electric Utility"
2000,14093,"Geothermal, Electric Utility"
2001,13741,"Geothermal, Electric Utility"
2002,14492,"Geothermal, Electric Utility"
2003,14424,"Geothermal, Electric Utility"
2004,14811,"Geothermal, Electric Utility"
2005,14693,"Geothermal, Electric Utility"
2006,14568,"Geothermal, Electric Utility"
2007,14638,"Geothermal, Electric Utility"
2008,14840,"Geothermal, Electric Utility"
2009,15009,"Geothermal, Electric Utility"
2010,15220,"Geothermal, Electric Utility"
2011,15315,"Geothermal, Electric Utility"
2012,15563,"Geothermal, Electric Utility"
2013,15776,"Geothermal, Electric Utility"
2014,15878,"Geothermal, Electric Utility"
2015,15919,"Geothermal, Electric Utility"
2016,15825,"Geothermal, Electric Utility"